"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","subject_ID","expName","date","question_order","success","final_height_px","final_width_px","scale_factor","screenWidth_Inches","screenHeight_Inches","screenDiagonal_Inches","view_history","stimulus","key_press","FinalLinePosition","FaceType","TiltDirection","TubeType","timeViewing","timeMoving","timeHumanize","nHumanizeTrials","HumanizeImage","ViewingImage","MovingImage","isPractice","BreakLength"
"","","Davis-Tube-Tilt","37","101312","0.0-8.0-0.25","7m447","TubeTilt2","2020_6_20_20_39_43_420","","","","","","","","","","","","-2","OC","LEFT","SF","162.18499996466562","152.11999998427927","1936.23499997193","2","images/Humanize/OC_SF.jpg","images/Viewing/OC_LEFT_SF.jpg","images/Moving/Open_Closed.jpg","false",""
"","","Davis-Tube-Tilt","38","105594","0.0-8.0-0.26","7m447","TubeTilt2","2020_6_20_20_39_43_420","","","","","","","","","","","","2","OC","RIGHT","TT","1007.5199999846518","156.66999999666587","2110.2049999753945","2","images/Humanize/OC_TT.jpg","images/Viewing/OC_RIGHT_TT.jpg","images/Moving/Open_Closed.jpg","false",""
"","","Davis-Tube-Tilt","39","108116","0.0-8.0-0.27","7m447","TubeTilt2","2020_6_20_20_39_43_420","","","","","","","","","","","","2","CO","RIGHT","TF","674.8549999902025","184.3900000094436","654.9399999785237","1","images/Humanize/CO_TF.jpg","images/Viewing/CO_RIGHT_TF.jpg","images/Moving/Closed_Open.jpg","false",""
"","","Davis-Tube-Tilt","40","110352","0.0-8.0-0.28","7m447","TubeTilt2","2020_6_20_20_39_43_420","","","","","","","","","","","","2","CO","RIGHT","TT","548.8699999987148","152.14999997988343","527.6750000193715","1","images/Humanize/CO_TT.jpg","images/Viewing/CO_RIGHT_TT.jpg","images/Moving/Closed_Open.jpg","false",""
"","","Davis-Tube-Tilt","41","114003","0.0-8.0-0.29","7m447","TubeTilt2","2020_6_20_20_39_43_420","","","","","","","","","","","","2","OC","RIGHT","SF","464.3050000304356","152.05000003334135","2024.8399999691173","2","images/Humanize/OC_SF.jpg","images/Viewing/OC_RIGHT_SF.jpg","images/Moving/Open_Closed.jpg","false",""
"","","Davis-Tube-Tilt","42","116572","0.0-8.0-0.30","7m447","TubeTilt2","2020_6_20_20_39_43_420","","","","","","","","","","","","4","OC","RIGHT","ST","398.96000002045184","578.4200000343844","585.1200000033714","1","images/Humanize/OC_ST.jpg","images/Viewing/OC_RIGHT_ST.jpg","images/Moving/Open_Closed.jpg","false",""
"","","Davis-Tube-Tilt","43","118749","0.0-8.0-0.31","7m447","TubeTilt2","2020_6_20_20_39_43_420","","","","","","","","","","","","-2","CO","LEFT","TF","477.565000008326","158.6949999909848","530.3399999975227","1","images/Humanize/CO_TF.jpg","images/Viewing/CO_LEFT_TF.jpg","images/Moving/Closed_Open.jpg","false",""
"3092.0899999910034","{""Hypothesis"":""something""}","survey-text","44","122851","0.0-9.0-0.0","7m447","TubeTilt2","2020_6_20_20_39_43_420","","","","","","","","","","","","","","","","","","","","","","","",""
"2950.0150000094436","{""Influence_YesOrNo"":""Yes""}","survey-multi-choice","45","125802","0.0-9.0-1.0","7m447","TubeTilt2","2020_6_20_20_39_43_420","[0]","","","","","","","","","","","","","","","","","","","","","","",""
"4574.78500000434","{""influence_string"":""it just did""}","survey-text","46","130380","0.0-9.0-2.0-0.0","7m447","TubeTilt2","2020_6_20_20_39_43_420","","","","","","","","","","","","","","","","","","","","","","","",""
"4302.6950000203215","{""AdditionalComments"":""-davis""}","survey-text","47","134685","0.0-9.0-3.0","7m447","TubeTilt2","2020_6_20_20_39_43_420","","","","","","","","","","","","","","","","","","","","","","","",""
